日期,收市,開市,高,低,成交量,更改%
2020年1月27日,"13,204.77","13,374.99","13,399.42","13,195.28",101.41M,-2.74%
2020年1月24日,"13,576.68","13,512.84","13,604.85","13,510.79",87.99M,1.41%
2020年1月23日,"13,388.42","13,455.90","13,486.14","13,382.23",90.75M,-0.94%
2020年1月22日,"13,515.75","13,601.65","13,640.06","13,498.03",73.13M,-0.30%
2020年1月21日,"13,555.87","13,456.90","13,560.68","13,443.25",64.63M,0.05%
2020年1月20日,"13,548.94","13,503.83","13,550.83","13,487.21",52.88M,0.17%
2020年1月17日,"13,526.13","13,513.48","13,557.78","13,497.30",86.34M,0.72%
2020年1月16日,"13,429.43","13,463.46","13,492.74","13,382.98",39.61M,-0.02%
2020年1月15日,"13,432.30","13,444.95","13,458.91","13,388.48",72.05M,-0.18%
2020年1月14日,"13,456.49","13,439.20","13,487.90","13,362.20",74.56M,0.04%
2020年1月13日,"13,451.52","13,521.86","13,529.21","13,404.72",67.21M,-0.24%
2020年1月10日,"13,483.31","13,533.46","13,548.20","13,483.31",77.94M,-0.09%
2020年1月9日,"13,495.06","13,474.76","13,523.34","13,456.78",86.97M,1.31%
2020年1月8日,"13,320.18","13,140.49","13,334.04","13,106.27",88.18M,0.71%
2020年1月7日,"13,226.83","13,199.59","13,283.88","13,166.40",78.28M,0.76%
2020年1月6日,"13,126.99","13,085.49","13,143.11","12,948.17",71.78M,-0.70%
2020年1月3日,"13,219.14","13,266.39","13,282.74","13,120.72",80.79M,-1.25%
2020年1月2日,"13,385.93","13,233.71","13,425.03","13,225.16",75.34M,1.03%
2019年12月30日,"13,249.01","13,301.43","13,316.62","13,244.17",31.43M,-0.66%
2019年12月27日,"13,337.11","13,338.32","13,381.44","13,311.52",43.76M,0.27%
2019年12月23日,"13,300.98","13,304.77","13,331.86","13,285.55",56.22M,-0.13%
2019年12月20日,"13,318.90","13,210.26","13,324.11","13,201.80",170.72M,0.81%
2019年12月19日,"13,211.96","13,226.70","13,248.98","13,140.22",84.02M,-0.08%
2019年12月18日,"13,222.16","13,266.35","13,286.00","13,215.88",71.00M,-0.49%
2019年12月17日,"13,287.83","13,391.27","13,394.47","13,269.43",79.26M,-0.89%
2019年12月16日,"13,407.66","13,349.86","13,425.85","13,338.38",71.20M,0.94%
2019年12月13日,"13,282.72","13,383.26","13,423.41","13,255.55",106.14M,0.46%
2019年12月12日,"13,221.64","13,167.56","13,287.81","13,105.07",84.00M,0.57%
2019年12月11日,"13,146.74","13,075.43","13,169.77","13,042.70",69.22M,0.58%
2019年12月10日,"13,070.72","13,065.83","13,091.71","12,886.55",80.06M,-0.27%
2019年12月9日,"13,105.61","13,147.57","13,170.77","13,100.24",50.35M,-0.46%
2019年12月6日,"13,166.58","13,087.51","13,171.21","13,055.98",60.14M,0.86%
2019年12月5日,"13,054.80","13,144.38","13,188.64","13,054.80",54.22M,-0.65%
2019年12月4日,"13,140.57","12,998.66","13,157.36","12,995.32",68.44M,1.16%
2019年12月3日,"12,989.29","13,039.61","13,086.03","12,927.07",87.00M,0.19%
2019年12月2日,"12,964.68","13,264.93","13,338.25","12,954.50",105.69M,-2.05%
2019年11月29日,"13,236.38","13,179.25","13,290.33","13,165.07",71.75M,-0.07%
2019年11月28日,"13,245.58","13,247.61","13,259.29","13,215.71",36.77M,-0.31%
