日期,收市,開市,高,低,成交量,更改%
2020年12月30日,"13,718.78","13,750.99","13,797.09","13,717.47",28.32M,-0.31%
2020年12月29日,"13,761.38","13,873.35","13,903.11","13,747.08",43.16M,-0.21%
2020年12月28日,"13,790.29","13,779.05","13,818.65","13,740.21",49.25M,1.49%
2020年12月23日,"13,587.23","13,456.63","13,601.71","13,456.63",48.73M,1.26%
2020年12月22日,"13,418.11","13,311.02","13,441.59","13,310.42",54.62M,1.30%
2020年12月21日,"13,246.30","13,398.22","13,399.99","13,060.34",98.29M,-2.82%
2020年12月18日,"13,630.51","13,649.66","13,774.45","13,624.25",156.77M,-0.27%
2020年12月17日,"13,667.25","13,691.49","13,725.84","13,649.53",77.21M,0.75%
2020年12月16日,"13,565.98","13,416.29","13,596.74","13,412.41",77.80M,1.52%
2020年12月15日,"13,362.87","13,216.49","13,374.96","13,210.15",67.27M,1.06%
2020年12月14日,"13,223.16","13,224.26","13,292.30","13,190.53",63.02M,0.83%
2020年12月11日,"13,114.30","13,255.24","13,265.61","13,009.48",82.14M,-1.36%
2020年12月10日,"13,295.73","13,341.68","13,370.44","13,213.06",68.81M,-0.33%
2020年12月9日,"13,340.26","13,344.14","13,454.13","13,327.87",77.31M,0.47%
2020年12月8日,"13,278.49","13,248.02","13,297.49","13,199.45",54.20M,0.06%
2020年12月7日,"13,271.00","13,255.78","13,289.43","13,163.26",54.32M,-0.21%
2020年12月4日,"13,298.96","13,230.61","13,315.37","13,225.08",64.08M,0.35%
2020年12月3日,"13,252.86","13,304.83","13,307.54","13,223.93",64.31M,-0.45%
2020年12月2日,"13,313.24","13,341.91","13,359.27","13,272.47",63.82M,-0.52%
2020年12月1日,"13,382.30","13,371.66","13,434.30","13,334.99",66.68M,0.69%
2020年11月30日,"13,291.16","13,270.51","13,445.11","13,256.76",107.37M,-0.33%
2020年11月27日,"13,335.68","13,280.51","13,364.17","13,272.74",63.82M,0.37%
2020年11月26日,"13,286.57","13,315.21","13,316.19","13,274.89",42.95M,-0.02%
2020年11月25日,"13,289.80","13,346.77","13,346.96","13,235.82",76.83M,-0.02%
2020年11月24日,"13,292.44","13,254.42","13,296.76","13,192.32",82.73M,1.26%
2020年11月23日,"13,126.97","13,215.44","13,312.42","13,126.97",68.58M,-0.08%
2020年11月20日,"13,137.25","13,054.64","13,172.91","13,054.64",70.13M,0.39%
2020年11月19日,"13,086.16","13,101.71","13,138.14","13,034.51",68.04M,-0.88%
2020年11月18日,"13,201.89","13,086.43","13,213.63","13,074.67",67.64M,0.52%
2020年11月17日,"13,133.47","13,130.54","13,151.02","13,050.41",68.59M,-0.04%
2020年11月16日,"13,138.61","13,170.52","13,277.45","13,081.11",85.19M,0.47%
2020年11月13日,"13,076.72","13,036.97","13,145.48","13,004.82",79.17M,0.18%
2020年11月12日,"13,052.95","13,073.48","13,168.09","13,022.28",82.38M,-1.24%
2020年11月11日,"13,216.18","13,205.95","13,244.32","13,138.76",95.53M,0.40%
2020年11月10日,"13,163.11","13,109.77","13,237.59","13,018.43",142.55M,0.51%
2020年11月9日,"13,095.97","12,713.19","13,297.05","12,670.58",189.27M,4.94%
2020年11月6日,"12,480.02","12,531.74","12,595.87","12,370.08",80.48M,-0.70%
2020年11月5日,"12,568.09","12,420.88","12,591.30","12,398.59",87.08M,1.98%
2020年11月4日,"12,324.22","11,896.11","12,329.96","11,848.21",105.44M,1.95%
2020年11月3日,"12,088.98","11,858.81","12,088.98","11,851.03",86.77M,2.55%
2020年11月2日,"11,788.28","11,602.91","11,838.00","11,551.36",78.37M,2.01%
2020年10月30日,"11,556.48","11,472.61","11,614.13","11,450.08",85.60M,-0.36%
2020年10月29日,"11,598.07","11,631.07","11,707.43","11,458.56",104.96M,0.32%
2020年10月28日,"11,560.51","11,848.31","11,852.02","11,457.12",137.19M,-4.17%
2020年10月27日,"12,063.57","12,206.42","12,223.60","12,034.80",87.41M,-0.93%
2020年10月26日,"12,177.18","12,303.41","12,404.51","12,174.22",81.60M,-3.71%
2020年10月23日,"12,645.75","12,517.98","12,718.27","12,514.99",55.67M,0.82%
2020年10月22日,"12,543.06","12,429.41","12,583.02","12,345.45",59.74M,-0.12%
2020年10月21日,"12,557.64","12,764.45","12,765.05","12,545.59",62.62M,-1.41%
2020年10月20日,"12,736.95","12,819.15","12,850.29","12,725.45",61.47M,-0.92%
2020年10月19日,"12,854.66","12,948.63","13,028.73","12,820.26",48.58M,-0.42%
2020年10月16日,"12,908.99","12,773.35","12,955.86","12,733.06",76.57M,1.62%
2020年10月15日,"12,703.75","12,826.13","12,839.55","12,599.82",78.93M,-2.49%
2020年10月14日,"13,028.06","13,012.69","13,066.44","12,975.12",52.93M,0.07%
