日期,收市,開市,高,低,成交量,更改%
2015年12月31日,"3,539.18","3,570.47","3,580.60","3,538.35",17.70B,-0.94%
2015年12月30日,"3,572.88","3,566.73","3,573.68","3,538.11",18.79B,0.26%
2015年12月29日,"3,563.74","3,528.40","3,564.17","3,515.52",18.26B,0.85%
2015年12月28日,"3,533.78","3,635.77","3,641.59","3,533.78",27.00B,-2.59%
2015年12月25日,"3,627.91","3,614.05","3,635.26","3,601.74",19.85B,0.43%
2015年12月24日,"3,612.49","3,631.31","3,640.22","3,572.28",22.78B,-0.65%
2015年12月23日,"3,636.09","3,653.28","3,684.57","3,633.03",29.82B,-0.43%
2015年12月22日,"3,651.77","3,645.99","3,652.63","3,616.87",26.12B,0.26%
2015年12月21日,"3,642.47","3,568.58","3,651.06","3,565.75",29.98B,1.77%
2015年12月18日,"3,578.96","3,574.94","3,614.70","3,568.16",27.37B,-0.03%
2015年12月17日,"3,580.00","3,533.63","3,583.41","3,533.63",28.39B,1.81%
2015年12月16日,"3,516.19","3,522.09","3,538.69","3,506.29",19.35B,0.17%
2015年12月15日,"3,510.35","3,518.13","3,529.96","3,496.85",20.05B,-0.29%
2015年12月14日,"3,520.67","3,403.51","3,521.78","3,399.28",21.54B,2.51%
2015年12月11日,"3,434.58","3,441.60","3,455.55","3,410.92",18.29B,-0.61%
2015年12月10日,"3,455.50","3,469.81","3,503.65","3,446.27",20.04B,-0.49%
2015年12月9日,"3,472.44","3,462.58","3,495.70","3,454.88",19.57B,0.07%
2015年12月8日,"3,470.07","3,518.65","3,518.65","3,466.79",22.44B,-1.89%
2015年12月7日,"3,536.93","3,529.81","3,543.95","3,506.62",20.83B,0.34%
2015年12月4日,"3,524.99","3,558.15","3,568.97","3,510.41",25.17B,-1.67%
2015年12月3日,"3,584.82","3,525.73","3,591.73","3,517.23",28.11B,1.35%
2015年12月2日,"3,536.91","3,450.28","3,538.85","3,427.66",30.15B,2.33%
2015年12月1日,"3,456.31","3,442.44","3,483.41","3,417.55",25.24B,0.32%
2015年11月30日,"3,445.40","3,433.86","3,470.37","3,327.81",30.42B,0.26%
2015年11月27日,"3,436.30","3,616.54","3,621.90","3,412.43",35.43B,-5.48%
2015年11月26日,"3,635.55","3,659.57","3,668.38","3,629.86",30.68B,-0.34%
2015年11月25日,"3,647.93","3,614.07","3,648.37","3,607.52",27.30B,0.88%
2015年11月24日,"3,616.11","3,602.89","3,616.48","3,563.10",24.88B,0.16%
2015年11月23日,"3,610.31","3,630.87","3,654.75","3,598.87",31.60B,-0.56%
2015年11月20日,"3,630.50","3,620.79","3,640.53","3,607.92",31.08B,0.37%
2015年11月19日,"3,617.06","3,573.78","3,618.21","3,561.04",24.79B,1.36%
2015年11月18日,"3,568.47","3,605.06","3,617.07","3,558.70",29.76B,-1.01%
2015年11月17日,"3,604.80","3,629.98","3,678.27","3,598.07",38.36B,-0.06%
2015年11月16日,"3,606.96","3,522.46","3,607.61","3,519.42",27.62B,0.73%
2015年11月13日,"3,580.84","3,600.76","3,632.56","3,564.81",34.59B,-1.43%
2015年11月12日,"3,632.90","3,656.82","3,659.31","3,603.23",36.17B,-0.48%
2015年11月11日,"3,650.25","3,635.00","3,654.88","3,605.62",36.10B,0.27%
2015年11月10日,"3,640.49","3,617.40","3,669.53","3,607.89",42.97B,-0.18%
2015年11月9日,"3,646.88","3,588.50","3,673.76","3,588.50",50.30B,1.58%
2015年11月6日,"3,590.03","3,514.44","3,596.38","3,508.83",42.92B,1.91%
2015年11月5日,"3,522.82","3,459.22","3,585.66","3,455.53",55.33B,1.83%
2015年11月4日,"3,459.64","3,325.62","3,459.65","3,325.62",33.91B,4.31%
2015年11月3日,"3,316.70","3,330.32","3,346.27","3,302.18",19.29B,-0.25%
2015年11月2日,"3,325.08","3,337.58","3,391.06","3,322.31",23.10B,-1.70%
2015年10月30日,"3,382.56","3,380.28","3,417.20","3,346.59",24.36B,-0.14%
2015年10月29日,"3,387.32","3,387.77","3,411.71","3,362.51",23.57B,0.36%
2015年10月28日,"3,375.20","3,417.01","3,439.76","3,367.23",29.35B,-1.72%
2015年10月27日,"3,434.34","3,409.14","3,441.57","3,332.62",32.82B,0.14%
2015年10月26日,"3,429.58","3,448.65","3,457.52","3,402.00",36.56B,0.50%
2015年10月23日,"3,412.43","3,377.55","3,422.02","3,360.22",34.74B,1.30%
2015年10月22日,"3,368.74","3,292.29","3,373.78","3,282.99",32.37B,1.45%
2015年10月21日,"3,320.68","3,428.56","3,447.26","3,265.44",45.85B,-3.06%
2015年10月20日,"3,425.33","3,377.55","3,425.52","3,357.86",31.90B,1.14%
2015年10月19日,"3,386.70","3,401.63","3,423.40","3,355.57",37.81B,-0.14%
2015年10月16日,"3,391.35","3,358.30","3,393.02","3,334.85",39.55B,1.60%
